    Station Name,Address,Division,Section,Phone,Latitude,Longitude,Name/Addr Source,Phone Source,Coord Source,Name/Addr Confidence,Phone Confidence,Coord Confidence
    Alipore Police Station,8 Belvedere Road, Kolkata-700027,1122,V1,033-24080100 / 8100796462,22.52982,88.32890,Kolkata Police site【45†L111-L119】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Amherst Street Police Station,57 Raja Ram Mohan Sarani, Kolkata-700009,1110,F,033-23605714 / 6292258204,22.56654,88.35124,Kolkata Police site【46†L151-L158】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Amherst Street Women Police Station,57 Raja Ram Mohan Sarani, Kolkata-700009,1110,FW,033-23602222 / 033-23602211 / 6292258209,22.56647,88.35120,Kolkata Police site【46†L184-L193】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Anandapur Police Station,757 Madurdaha, Hossainpur, Kolkata-700107,1138,ADP,033-24435000 / 6292258804,22.49700,88.44050,Kolkata Police site【46†L213-L221】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Ballygunge Police Station,38/1 Beltola Road, Kolkata-700020,1128,S1,033-24543179 / 6292258401,22.50870,88.34315,Kolkata Police site【46†L250-L258】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Bansdroni Police Station,Rainagar Health Centre, Madhyapara, Bansdroni, Kolkata-700070,1132,BND,033-24311951 / 6292258604,22.51410,88.32050,Kolkata Police site【46†L281-L290】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Behala Police Station,131 Diamond Harbour Road, Kolkata-700034,1135,BHL,033-23967350 / 6292258702,22.49915,88.30562,Kolkata Police site【47†L316-L323】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Behala Women Police Station,131 Diamond Harbour Road, Kolkata-700034,1135,BHLW,033-23967020 / 033-24098030 / 6292258707,22.49910,88.30550,Kolkata Police site【47†L359-L368】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Beliaghata Police Station,P-57, CIT Road, Kolkata-700010,1117,P1,033-23536433 / 6292258303,22.57321,88.39532,Kolkata Police site【47†L386-L395】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Beniapukur Police Station,40/A, Gorachand Road, Kolkata-700014,1128,R1,033-22844770 / 6292258406,22.54215,88.35525,Kolkata Police site【48†L422-L430】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
